image_identifier,category,predicted_category
0,0,28
1,3,3
2,3,3
3,7,7
4,8,8
5,11,11
6,11,66
7,14,69
8,14,6
9,15,15
10,15,15
11,16,16
12,17,17
13,19,43
14,19,19
15,24,24
16,27,27
17,28,28
18,28,28
19,28,28
20,32,42
21,32,32
22,35,35
23,35,35
24,36,36
25,36,36
26,36,36
27,36,36
28,43,43
29,43,43
30,45,70
31,48,48
32,50,50
33,52,52
34,54,54
35,56,56
36,56,56
37,56,56
38,57,57
39,58,92
40,59,72
41,59,95
42,59,59
43,62,62
44,66,34
45,66,75
46,66,66
47,67,67
48,72,72
49,75,75
50,76,76
51,77,77
52,79,34
53,80,80
54,82,82
55,82,82
56,83,70
57,84,84
58,85,85
59,88,42
60,92,92
61,92,92
62,94,98
63,94,94
64,95,95
