text,category,predicted_category
hard time breathing lately dry cough coughing lot mucus fever feeling weak tired,149,149
stomach_painacidityvomitingcoughchest_pain,412,412
vulva open popup dialog box close vulva vulva vulva outer part female genitalia including labia majora labia minora clitoris vulva open popup dialog box vulva open popup dialog box open popup dialog box close vulva vulva vulva outer part female genitalia including labia majora labia minora clitoris close vulva vulva vulva outer part female genitalia including labia majora labia minora clitoris close vulva vulva vulva outer part female genitalia including labia majora labia minora clitoris close close close vulva vulva vulva outer part female genitalia including labia majora labia minora clitoris vulva vulva outer part female genitalia including labia majora labia minora clitoris vulva outer part female genitalia including labia majora labia minora clitoris main vulvodynia symptom pain genital area characterized burning soreness stinging rawness painful intercourse dyspareunia throbbing itching pain might constant occasional might occur sensitive area touched provoked might feel pain entire vulvar area generalized pain might localized certain area opening vagina vestibule vulvar tissue might look slightly inflamed swollen often vulva appears normal similar condition vestibulodynia causes pain pressure applied area surrounding entrance vagina,1064,822
skin_rashhigh_feverblisterred_sore_around_noseyellow_crust_ooze,515,207
vomitingheadacheweakness_of_one_body_sidealtered_sensorium,718,718
joint_painvomitingyellowish_skindark_urinenausealoss_of_appetiteabdominal_paindiarrhoeamild_feveryellowing_of_eyesmuscle_pain,464,207
sunken_eyesdehydrationdiarrhoea,402,402
fatigueweight_gaincold_hands_and_feetsmood_swingslethargydizzinesspuffy_face_and_eyesenlarged_thyroidbrittle_nailsswollen_extremetiesdepressionirritabilityabnormal_menstruation,511,511
skin_rashhigh_feverblisterred_sore_around_noseyellow_crust_ooze,515,207
headachedizzinessloss_of_balancelack_of_concentration,501,207
vomitingheadacheweakness_of_one_body_sidealtered_sensorium,718,718
fatiguecoughhigh_feverbreathlessnessfamily_historymucoid_sputum,149,149
fatiguecrampsbruisingobesityswollen_legsswollen_blood_vesselsprominent_veins_on_calf,1047,1047
headachechest_paindizzinessloss_of_balancelack_of_concentration,501,501
chillsvomitinghigh_feversweatingheadachenauseadiarrhoeamuscle_pain,596,596
skin_rashjoint_painvomitingfatiguehigh_feverheadachenausealoss_of_appetitepain_behind_the_eyesback_painmalaisemuscle_painred_spots_over_body,275,275
continuous_sneezingchillsfatiguecoughhigh_feverheadacheswelled_lymph_nodesmalaisephlegmthroat_irritationredness_of_eyessinus_pressurerunny_nosecongestionchest_painloss_of_smellmuscle_pain,234,234
vomitingsunken_eyesdehydrationdiarrhoea,402,207
ive feeling really tired lately ive losing weight im always thirsty,284,284
fatiguebruisingobesityswollen_legsswollen_blood_vesselsprominent_veins_on_calf,1047,207
vomitingyellowish_skinabdominal_painswelling_of_stomachdistention_of_abdomenhistory_of_alcohol_consumptionfluid_overload,33,33
chillsvomitingfatigueweight_losscoughbreathlessnesssweatingloss_of_appetitemild_feveryellowing_of_eyesswelled_lymph_nodesmalaisephlegmchest_painblood_in_sputum,1019,1019
vomitingbreathlessnesschest_pain,447,207
blisters associated dyshidrosis occur commonly sides fingers palms sometimes soles feet affected blisters usually small width standard pencil lead grouped clusters appearance similar tapioca moresevere cases small blisters may merge form larger blisters skin affected dyshidrosis painful itchy blisters dry flake three weeks dyshidrosis tends recur fairly regularly months years,321,321
back_painweakness_in_limbsneck_paindizzinessloss_of_balance,186,207
lcis doesnt cause signs symptoms rather doctor might discover incidentally lcis instance biopsy assess breast lump abnormal area found mammogram,584,584
ive lot pain joints especially knees ankles theyre really stiff hard move around ive feeling really weak tired,72,72
fatiguecrampsbruisingobesityswollen_legsprominent_veins_on_calf,1047,1047
typically spider bite looks bug bite red inflamed sometimes itchy painful bump skin may even go unnoticed harmless spider bites usually dont produce symptoms many skin sores look causes bacterial infection bites spiders widow spiders recluse spiders might cause serious signs symptoms widow spider bites signs symptoms widow spider bite include redness pain swelling might pain swelling around bite spread abdomen back chest cramping might severe abdominal rigidity cramping sometimes mistaken appendicitis ruptured appendix nausea vomiting tremors sweating might experience nausea vomiting tremors sweating alone combination symptoms last days recluse spider bites signs symptoms recluse spider bite include increasing pain first eight hours bite fever chills body aches bite wound pale center turns dark blue purple red ring around bite wound grows open sore ulcer skin around dying,927,927
muscle_weaknessstiff_neckswelling_jointsmovement_stiffnesspainful_walking,72,72
skin_rashjoint_painskin_peelingsmall_dents_in_nailsinflammatory_nails,822,207
itchingvomitingyellowish_skinnausealoss_of_appetiteabdominal_painyellowing_of_eyes,207,207
gallbladder cancer signs symptoms may include abdominal pain particularly upper right portion abdomen abdominal bloating losing weight without trying yellowing skin whites eyes jaundice,396,396
skin sometimes peels rashes sick often hands sometimes shake shaky,308,308
chillsfatiguecoughhigh_feverbreathlessnesssweatingmalaisephlegmchest_painfast_heart_raterusty_sputum,766,766
acidityindigestionheadacheblurred_and_distorted_visionexcessive_hungerstiff_neckdepressionirritabilityvisual_disturbances,630,630
itchingvomitingyellowish_skinnauseaabdominal_painyellowing_of_eyes,207,207
skin_rashpus_filled_pimplesblackheadsscurring,7,7
experiencing neck pain weakness arms legs persistent cough balance issues dizziness,186,186
joint_painvomitingfatiguehigh_feveryellowish_skindark_urinenausealoss_of_appetiteabdominal_painyellowing_of_eyescomastomach_bleeding,468,468
chillsvomitingfatiguehigh_feverheadachenauseaconstipationabdominal_paindiarrhoeatoxic_look_typhosbelly_pain,1026,1026
muscle_wastingpatches_in_throathigh_feverextra_marital_contacts,27,207
itchingvomitingyellowish_skinnausealoss_of_appetiteabdominal_pain,207,207
vomitingsunken_eyesdehydrationdiarrhoea,402,402
acidityindigestionheadacheblurred_and_distorted_visionexcessive_hungerstiff_neckdepressionirritabilityvisual_disturbances,630,630
itchingskin_rashnodal_skin_eruptionsdischromic__patches,394,394
hemangioma may present birth often appears first several months life starts flat red mark anywhere body often face scalp chest back usually child one mark children may one particularly theyre part multiple birth childs first year red mark grows rapidly spongy rubberylooking bump sticks skin hemangioma enters rest phase eventually begins slowly disappear many hemangiomas disappear age gone age skin may slightly discolored raised hemangioma goes away,457,822
acidityindigestionheadacheblurred_and_distorted_visionexcessive_hungerstiff_neckdepressionirritabilityvisual_disturbances,630,630
signs symptoms mononucleosis may include fatigue sore throat perhaps misdiagnosed strep throat doesnt better treatment antibiotics fever swollen lymph nodes neck armpits swollen tonsils headache skin rash soft swollen spleen virus incubation period four six weeks although young children period may shorter incubation period refers long symptoms appear exposed virus signs symptoms fever sore throat usually lessen within couple weeks fatigue enlarged lymph nodes swollen spleen may last weeks longer see doctor youve experiencing symptoms may mononucleosis symptoms dont better week two see doctor,645,822
chillsvomitinghigh_feversweatingheadachenauseadiarrhoeamuscle_pain,596,207
continuous_sneezingshiveringchillswatering_from_eyes,35,35
chillsvomitinghigh_feversweatingheadachenauseadiarrhoeamuscle_pain,596,207
joint_painvomitingyellowish_skindark_urinenausealoss_of_appetiteabdominal_painyellowing_of_eyes,467,467
fever days now starting worse terrible stomach ache im constipated,1026,1026
ive drinking lot water urinating often lately mouth throat always dry ive hungrier usual,284,284
us newborn screening cystic fibrosis diagnosed within first month life symptoms develop people born newborn screening became available may diagnosed signs symptoms cf show cf cystic fibrosis signs symptoms vary depending severity disease even person symptoms may worsen improve time passes people may experience symptoms teenage years adulthood people diagnosed adulthood usually milder disease likely atypical symptoms recurring bouts inflamed pancreas pancreatitis infertility recurring pneumonia people cystic fibrosis higher normal level salt sweat parents often taste salt kiss children signs symptoms cf affect respiratory system digestive system cf respiratory signs symptoms thick sticky mucus associated cystic fibrosis clogs tubes carry air lungs cause signs symptoms persistent cough produces thick mucus sputum wheezing exercise intolerance repeated lung infections inflamed nasal passages stuffy nose recurrent sinusitis digestive signs symptoms thick mucus block tubes carry digestive enzymes pancreas small intestine without digestive enzymes intestines arent able completely absorb nutrients food eat result often foulsmelling greasy stools poor weight gain growth intestinal blockage particularly newborns meconium ileus chronic severe constipation may include frequent straining trying pass stool eventually causing part rectum protrude outside anus rectal prolapse,264,264
fatigueweight_gaincold_hands_and_feetsmood_swingslethargydizzinesspuffy_face_and_eyesenlarged_thyroidbrittle_nailsswollen_extremetiesdepressionirritabilityabnormal_menstruation,511,511
vomitingabdominal_painswelling_of_stomachdistention_of_abdomenhistory_of_alcohol_consumptionfluid_overload,33,207
joint_painknee_painhip_joint_painswelling_jointspainful_walking,700,700
continuous_sneezingchillsfatiguecoughheadacheswelled_lymph_nodesmalaisephlegmthroat_irritationredness_of_eyessinus_pressurerunny_nosecongestionchest_painloss_of_smellmuscle_pain,234,234
acidityindigestionheadacheblurred_and_distorted_visionexcessive_hungerstiff_neckdepressionirritabilityvisual_disturbances,630,630
pain legs worse stand walk long periods time cramps cant run long periods time,1047,1047
sprained ankle open popup dialog box close sprained ankle sprained ankle sprained ankle stretching tearing ankle ligaments support joint connecting bones sprained ankle open popup dialog box sprained ankle open popup dialog box open popup dialog box close sprained ankle sprained ankle sprained ankle stretching tearing ankle ligaments support joint connecting bones close sprained ankle sprained ankle sprained ankle stretching tearing ankle ligaments support joint connecting bones close sprained ankle sprained ankle sprained ankle stretching tearing ankle ligaments support joint connecting bones close close close sprained ankle sprained ankle sprained ankle stretching tearing ankle ligaments support joint connecting bones sprained ankle sprained ankle stretching tearing ankle ligaments support joint connecting bones sprained ankle stretching tearing ankle ligaments support joint connecting bones signs symptoms will vary depending severity injury may include pain swelling bruising limited ability move affected joint hearing feeling pop joint time injury see doctor mild sprains treated home injuries cause sprains cause serious injuries fractures see doctor cant move bear weight affected joint pain directly bones injured joint numbness part injured area,936,822
itchingskin_rashstomach_painburning_micturitionspotting__urination,308,308
vomitingheadachenauseaspinning_movementsloss_of_balanceunsteadiness,0,0
itchingskin_rashnodal_skin_eruptionsdischromic__patches,394,207
fatiguecrampsbruisingobesityswollen_legsswollen_blood_vesselsprominent_veins_on_calf,1047,1047
constipationpain_during_bowel_movementspain_in_anal_regionbloody_stoolirritation_in_anus,297,297
itchy swollen skin sometimes flakes cheeks lips swell hurts lot headaches watery eyes puffing,35,35
itchingvomitingfatigueweight_losshigh_feveryellowish_skindark_urineabdominal_pain,541,207
fatiguecoughhigh_feverbreathlessnessfamily_historymucoid_sputum,149,207
