duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,target,predicted_target
0,1,20,9,748,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,28,54,0.04,0.11,0.04,0.04,0,0,0,0,16,16
0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,12,1,1,0,0,0.11,0.06,0,255,12,0.05,0.07,0,0,1,1,0,0,14,14
0,2,12,9,45,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,148,0,0,0,0,0.99,0.03,0.01,255,230,0.9,0.01,0,0,0,0,0,0,16,16
1,1,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,2,0,0,1,1,0.01,0.5,0,255,2,0.01,0.5,1,0,0,0,1,1,20,20
0,1,24,9,256,791,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0.22,255,217,0.85,0.01,0,0,0,0,0,0,16,16
0,1,24,9,250,1479,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,50,255,1,0,0.02,0.03,0.02,0,0,0,16,16
0,0,14,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,77,131,1,0,1,0.21,0,0,0,0,16,16
0,1,20,9,12324,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,117,3,0.98,0,0,0,0.02,0.07,0.67,255,20,0.08,0.09,0.1,0,0.76,0,0.01,0,16,16
1,1,54,9,945,481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0.2,0.4,0,255,22,0.09,0.01,0,0,0,0,0,0,16,16
0,1,63,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,3,1,1,0,0,0.01,0.06,0,255,18,0.07,0.06,0,0,1,1,0,0,14,14
0,0,14,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,2,0.01,0.31,0.01,0,0,0,0.14,0,25,25
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,12,1,1,0,0,0.12,0.06,0,255,13,0.05,0.06,0,0,1,1,0,0,14,14
0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,3,0,0,1,1,0.01,0.07,0,255,3,0.01,0.07,0,0,0,0,1,1,14,14
0,1,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,0.25,0,0,1,0,0.5,28,255,1,0,0.07,0.02,0.07,0.01,0,0,16,16
0,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,14,1,1,0,0,0.25,0.07,0,255,55,0.22,0.02,0.02,0,0.98,0.98,0,0,14,14
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,4,1,1,0,0,0.04,0.07,0,255,4,0.02,0.09,0,0,1,1,0,0,14,14
0,1,24,9,306,3659,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,1,0,0.33,87,255,1,0,0.01,0.08,0.01,0,0,0,16,16
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,1,2,255,1,0,1,0.5,0,0,0,0,7,16
0,0,14,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,0,0,0,0,1,0,1,1,141,1,0,1,0.26,0,0,0,0,24,7
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,1,0,0,0.12,0.19,0,255,2,0.01,0.08,0,0,1,1,0,0,14,14
0,1,20,9,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,9,17,1,0,1,0.12,0,0,0,0,34,16
0,1,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,1,1,0,0,0.01,0.07,0,255,14,0.05,0.07,0,0,1,1,0,0,14,14
0,1,20,9,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,152,60,0.39,0.03,0.39,0,0,0,0,0,16,16
0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,36,2,0.03,1,0.03,1,0,0,0.86,1,7,7
0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1,1,1,0,0,0,0.06,0,255,1,0,0.06,0,0,1,1,0,0,14,14
0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,1,0.05,0,0.92,1,0,1,0,255,1,0,1,0,0,0.03,0,0.94,1,24,25
0,1,24,9,236,857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,16,16
0,1,24,9,195,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0,1,0,0.09,14,255,1,0,0.07,0.01,0,0,0,0,16,16
0,1,54,9,1577,330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,184,132,0.72,0.02,0.01,0,0,0,0,0,16,16
0,2,49,9,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,0,0,0,1,0,0,119,47,0.39,0.03,0.39,0,0,0,0,0,32,32
0,1,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,2,1,1,0,0,0.01,0.06,0,255,3,0.01,0.07,0,0,1,1,0,0,14,14
1,1,60,9,24,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0.75,0.5,0.5,0.75,0.5,54,86,0.33,0.09,0.02,0.02,0,0,0.85,0.7,11,16
0,2,12,9,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,88,0,0,0,0,1,0,0,255,227,0.89,0.01,0,0,0,0,0,0,16,16
0,1,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,5,1,1,0,0,0.06,0.06,0,255,19,0.07,0.06,0,0,1,1,0,0,14,14
0,1,28,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0.67,0.5,1,1,227,59,0.23,0.02,0,0.03,0,0,0.87,0.93,11,16
0,1,24,9,300,669,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,255,1,0,1,0.03,0,0,0,0,16,16
0,2,12,9,43,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,125,0,0,0,0,1,0,0.02,255,209,0.82,0.01,0,0,0,0,0,0,16,16
0,1,24,9,295,321,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,16,16
0,1,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,20,1,1,0,0,0.27,0.05,0,255,60,0.24,0.04,0.01,0,1,1,0,0,14,14
0,1,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,17,1,1,0,0,0.37,0.09,0,255,67,0.26,0.02,0,0,1,1,0,0,14,14
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,1,1,28,1,0,1,0.54,0,0,0,0,7,7
0,1,20,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,49,1,0,1,0.1,0,0,0,0,34,34
0,1,24,9,303,1380,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,255,244,0.96,0.02,0,0,0,0,0,0,16,16
0,1,20,9,4892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,106,94,0.19,0.05,0.19,0.02,0,0,0.03,0,16,16
0,1,24,9,265,213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,19,255,1,0,0.05,0.06,0,0,0,0,16,16
0,1,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,5,1,1,0,0,0.02,0.07,0,255,5,0.02,0.07,0,0,1,1,0,0,14,14
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,1,2,152,1,0,1,0.5,0,0,0,0,7,7
0,0,14,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,1,0,1,1,86,1,0,1,0.51,0,0,0,0,7,7
0,1,24,9,207,1227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,24,24,1,0,0.04,0,0,0,0,0,16,16
0,1,44,9,3468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0.04,0,0,0,0.04,0.78,0,255,1,0,0.08,0.46,0,0,0,0,0,16,16
0,1,54,9,999,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,25,227,0.96,0.08,0.04,0.01,0,0,0,0,16,16
0,0,65,9,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,1,0,255,8,0.03,0.01,0.04,0,0,0,0,0,16,16
6,1,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.52,1,0,0,0,1,1,20,20
0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,11,0,0,1,1,0.05,0.07,0,255,11,0.04,0.08,0,0,0,0,1,1,14,14
0,1,60,9,122,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,187,0.73,0.02,0,0,0,0,0.02,0.03,4,4
0,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,10,0,0,1,1,0.05,0.06,0,255,10,0.04,0.06,0,0,0,0,1,1,14,14
0,1,18,9,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,123,9,0.03,0.03,0.01,0.22,0,0,0,0,16,16
0,1,24,9,237,4627,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,16,16
0,1,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,8,0,0,1,1,0.03,0.06,0,255,8,0.03,0.07,0,0,0,0,1,1,14,14
0,1,24,9,281,5897,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0.5,10,255,1,0,0.1,0.02,0,0,0,0,16,16
